startingAirport,destinationAirport,d1,d2,d3,d4
DFW,IAD,785.0,2123.0,153.99735068658492,1340.628957655695
DFW,JFK,994.0,3011.0,209.563762939339,1505.4940116032967
DFW,LAX,1193.0,2454.0,211.92540890863322,1424.1463230767297
DFW,LGA,1380.0,2271.0,158.11020614646407,1465.3950532334138
DFW,MIA,636.0,2484.0,342.1733105434339,1339.4085426464696
DFW,OAK,905.0,3067.0,268.48022479667054,1849.6229853045745
DFW,ORD,799.0,2312.0,363.7397775326423,1099.0451629509366
DFW,PHL,799.0,2217.0,237.11589781610104,1481.1140314062882
DFW,SFO,1468.0,2860.0,253.21143881510986,1668.8251149304695
DTW,ATL,604.0,2099.0,340.93501683474324,979.1357205087994
DTW,BOS,622.0,2185.0,187.35944481400833,757.4369459172852
DTW,CLT,505.0,1925.0,268.5257166922739,851.5464941255174
DTW,DEN,1142.0,2508.0,390.7783994424155,1489.4554120458633
DTW,DFW,995.0,2268.0,324.59847312279425,1264.0219931925833
DTW,EWR,485.0,1694.0,255.35202306211454,721.618291501266
DTW,IAD,391.0,1474.0,235.98632552413483,593.7749707125757
DTW,JFK,485.0,2176.0,263.85301325955265,753.170156407669
DTW,LAX,1948.0,3170.0,376.92221503355876,2316.153872480669
DTW,LGA,485.0,2014.0,236.95956359169395,674.838013608511
DTW,MIA,1153.0,2110.0,202.01103630531426,1447.0176225991684
DTW,OAK,2072.0,3163.0,249.5720628597568,2424.441330285285
DTW,ORD,240.0,1794.0,417.4665176221861,473.6010377527286
DTW,PHL,447.0,1856.0,301.17692058180774,766.8605290688985
DTW,SFO,2083.0,3398.0,377.04772229596966,2449.3709882111893
EWR,ATL,762.0,2110.0,204.67614851920925,824.1849157449335
EWR,BOS,185.0,1709.0,472.56676031819444,409.2042285714286
EWR,CLT,545.0,1756.0,278.2769985806419,754.9210664067435
EWR,DEN,1621.0,2834.0,228.13219571629185,1797.3054422487583
EWR,DFW,1380.0,2271.0,141.70712439677317,1475.9163259000782
EWR,DTW,485.0,1480.0,263.12464684018454,730.9810879073492
EWR,IAD,221.0,1979.0,372.1417673669798,765.8251770766259
EWR,LAX,2427.0,3443.0,161.30424353947757,2564.64714810395
EWR,LGA,185.0,185.0,0.0,185.0
EWR,MIA,1104.0,2663.0,246.09285094599335,1244.7173524979714
EWR,OAK,2557.0,3636.0,199.97360128771703,2901.031977891828
EWR,ORD,720.0,2296.0,175.3179706067647,801.141403222856
EWR,PHL,97.0,2082.0,437.88189204362817,973.8441595383708
EWR,SFO,2566.0,3686.0,156.92815886974893,2672.148685258964
IAD,ATL,541.0,1902.0,194.8358015831976,608.1590872111942
IAD,BOS,406.0,3104.0,327.4214753812588,705.9155767662428
IAD,CLT,327.0,1186.0,230.34056382184755,571.7975801805262
IAD,DEN,1017.0,2612.0,191.4331985501816,1697.949138877069
IAD,DFW,594.0,2123.0,180.19027608372727,1361.0012702445222
IAD,DTW,391.0,3104.0,280.53346681748747,614.9196713829301
IAD,EWR,221.0,1838.0,358.3115572970576,755.8757109810858
IAD,JFK,221.0,1303.0,223.83251450282975,694.0703988995873
IAD,LAX,462.0,3270.0,189.50990932305132,2483.7410624310187
IAD,LGA,221.0,3104.0,352.86261553224927,794.4508087684586
IAD,MIA,923.0,2421.0,285.16965094399484,1194.7810897989748
IAD,OAK,1768.0,3519.0,235.31396054386434,2827.2428492938175
IAD,ORD,594.0,1976.0,213.64371075258086,829.1496313013357
IAD,PHL,318.0,3104.0,329.207928257931,790.1410319571714
IAD,SFO,1971.0,3363.0,175.31072405065896,2619.461634099339
JFK,ATL,451.0,2105.0,355.5833282527524,956.1590206554894
JFK,BOS,185.0,1465.0,142.5299446125139,242.3704724802717
JFK,CLT,545.0,1756.0,286.1427522021688,715.839814649795
JFK,DEN,735.0,2820.0,388.0811394387448,1968.3385071279833
JFK,DFW,815.0,2219.0,211.30418840728763,1548.481507852551
JFK,DTW,485.0,2137.0,269.39178777021993,709.5633903952206
JFK,IAD,221.0,1303.0,230.90239987723578,692.624903697997
JFK,LAX,2414.0,3443.0,243.68480196825038,2595.339606261997
JFK,MIA,1104.0,2663.0,186.1341342881863,1169.8089373124901
JFK,OAK,2557.0,3501.0,226.13537542618053,2861.984860070347
JFK,ORD,720.0,2262.0,298.9598655675969,964.2756466927679
JFK,PHL,348.0,1436.0,326.83315817895505,690.760480620739
JFK,SFO,2566.0,3686.0,187.19698100177385,2648.0098199110716
LAX,ATL,1459.0,3064.0,294.5008745686891,2128.5698983615175
LAX,BOS,339.0,3599.0,300.29044175209896,2730.349076688322
LAX,CLT,1403.0,3113.0,325.09398996585634,2397.0417995927833
LAX,DEN,347.0,2259.0,444.62974321282957,1115.390925216308
LAX,DFW,997.0,2544.0,242.6327244900142,1423.9970826039844
LAX,DTW,1948.0,3170.0,364.15234359366866,2303.988238977956
LAX,EWR,524.0,3443.0,203.9835596221235,2588.34373882389
LAX,IAD,745.0,3270.0,206.77189080320164,2488.6390441155822
LAX,JFK,524.0,3443.0,330.12887910539536,2673.5904519591063
LAX,LGA,1383.0,3443.0,265.228794615238,2652.794983751203
LAX,MIA,2295.0,3562.0,391.0350984824179,2616.8038016030555
LAX,OAK,338.0,1770.0,455.372560020515,1282.639562748252
LAX,ORD,1250.0,2889.0,332.89534357078094,2008.1118779561655
LAX,PHL,1293.0,3355.0,232.20743453205725,2580.1450853553456
LAX,SFO,339.0,1781.0,275.2734584149669,443.3602798943668
LGA,ATL,762.0,2110.0,279.9195937906878,876.2472920353982
LGA,BOS,185.0,1856.0,322.74674444994616,357.9698406223185
LGA,CLT,545.0,1756.0,260.25931273784954,655.209663356745
LGA,DEN,720.0,2820.0,249.28629198788485,1788.0634419216847
LGA,DFW,1380.0,2271.0,165.2426581259766,1464.59898450991
LGA,DTW,485.0,2137.0,219.27858996084353,656.9377444018598
LGA,IAD,221.0,1927.0,364.1496397403333,781.8979255763653
LGA,LAX,720.0,3443.0,272.38321188732385,2610.1106413785706
LGA,MIA,1104.0,2512.0,297.81530102923995,1247.2147571134913
LGA,OAK,1058.0,3542.0,308.9472822477327,2931.228271484375
LGA,ORD,720.0,1946.0,94.13056361347888,753.1427249320725
LGA,PHL,348.0,2082.0,402.0660640052267,1068.9368087850248
LGA,SFO,1059.0,3686.0,237.31450448695057,2785.523335560009
MIA,ATL,596.0,1866.0,605.2354190347771,1140.451469260014
MIA,BOS,1178.0,2671.0,114.89698466846434,1302.065913116372
MIA,CLT,652.0,1988.0,434.9118819724103,1033.5001370942866
MIA,DEN,1104.0,3187.0,396.0963827076737,2051.121326632395
MIA,DFW,501.0,2484.0,371.03056893800505,1359.6914768429015
MIA,DTW,1153.0,2241.0,205.7590969835796,1431.0638927660393
MIA,EWR,1104.0,2663.0,226.67010567305024,1254.0764118852921
MIA,IAD,923.0,2421.0,256.2727505435827,1181.2318623068081
MIA,JFK,1104.0,2663.0,185.89171041538444,1159.3740830823874
MIA,LAX,1952.0,3413.0,226.29801680451848,2495.758460702697
MIA,LGA,1104.0,2512.0,326.03051636006,1265.8363018889925
MIA,OAK,2072.0,3556.0,357.7845380379328,3010.682767112554
MIA,ORD,1192.0,2619.0,303.1148303938507,1508.0491571266825
MIA,PHL,1016.0,2622.0,243.05180470431043,1238.4668448083082
MIA,SFO,2058.0,3958.0,476.26697836478024,3027.2429646383366
OAK,ATL,2150.0,3104.0,264.37650456203727,2470.936202968163
OAK,BOS,677.0,3587.0,374.8340231434613,2994.0840589144764
OAK,CLT,1839.0,3204.0,255.69607917184862,2688.34523532424
OAK,DEN,943.0,2701.0,321.22838873549637,1328.6853952240722
OAK,DFW,1467.0,3104.0,302.5344139761439,1927.3492419665718
OAK,DTW,2072.0,3268.0,271.4369934603186,2442.496862822799
OAK,EWR,2557.0,3659.0,219.51247602423038,2886.103976545402
OAK,IAD,2424.0,3473.0,216.65079652315163,2790.0736618309156
OAK,JFK,862.0,3691.0,230.81950321430472,2832.980710064951
OAK,LAX,338.0,1770.0,437.3846895178474,1284.120799389002
OAK,LGA,1909.0,3761.0,234.10809549576456,2988.5211975407647
OAK,MIA,2558.0,3513.0,359.0710060503947,3120.5937443744374
OAK,ORD,1839.0,3056.0,240.3729847666401,2177.6817359855336
OAK,PHL,2083.0,3256.0,222.85531971678668,2843.224380997512
OAK,SFO,677.0,2205.0,260.00268138587586,894.4450852965069
ORD,ATL,572.0,2110.0,410.6563661647395,980.4193703486914
ORD,BOS,862.0,2113.0,97.81508330509989,891.7647316307432
ORD,CLT,592.0,2249.0,331.4527800575995,967.8723527611808
ORD,DEN,903.0,2558.0,340.95871370142174,1146.0599637462235
ORD,DFW,771.0,2312.0,355.0776085521357,1078.0036060919938
ORD,DTW,240.0,1794.0,376.93356561207537,402.1993838375859
ORD,EWR,720.0,2296.0,178.45628804379447,795.8819844937555
ORD,IAD,594.0,2115.0,212.5999096173565,851.3153549952526
ORD,JFK,720.0,2197.0,286.12647816553033,932.8500276562579
ORD,LAX,1709.0,2889.0,323.98286983310504,1990.4402286270217
ORD,LGA,720.0,1946.0,106.00412181032102,759.6051017113335
ORD,MIA,1192.0,2619.0,304.4507067611208,1525.4492694090723
ORD,OAK,1839.0,3220.0,243.85697504389566,2190.7622844991265
ORD,PHL,672.0,1891.0,304.1111877055512,872.9635042283298
ORD,SFO,1847.0,3433.0,310.29364707901186,2067.443734248877
PHL,ATL,667.0,2023.0,335.28597787299157,889.8037146735777
PHL,BOS,280.0,1614.0,362.45854234739795,404.5669773635153
PHL,CLT,449.0,1908.0,319.42752651534545,776.7951219512195
PHL,DEN,672.0,2775.0,340.61734363917753,1807.3602043484382
PHL,DFW,1298.0,2217.0,227.3162693950795,1480.4127606569477
PHL,DTW,447.0,1856.0,282.00619074210937,759.8081968222688
PHL,EWR,97.0,2082.0,422.70345469053194,982.080189470936
PHL,IAD,318.0,1266.0,308.18109281651743,893.9336076917474
PHL,JFK,348.0,1436.0,379.4402788079816,713.5978141300876
PHL,LAX,672.0,3355.0,260.9685468767656,2523.5977487193313
PHL,LGA,348.0,2082.0,416.85630909809186,1035.8030488616696
PHL,MIA,1016.0,2481.0,273.6160526899381,1267.9297539683894
PHL,OAK,1349.0,3193.0,248.28698193852344,2828.712170565591
PHL,ORD,672.0,2262.0,304.5780999078501,854.255064737243
PHL,SFO,672.0,3598.0,316.59037628439,2717.5100249533216
SFO,ATL,1642.0,3328.0,447.9744335561623,2546.5129103954414
SFO,BOS,2047.0,3881.0,167.91050583426133,2801.8366389672833
SFO,CLT,1847.0,3752.0,336.26157487896165,2662.08968065595
SFO,DEN,954.0,2517.0,330.94912742344576,1222.786264103195
SFO,DFW,1468.0,2860.0,375.7608761332059,1754.6884176533908
SFO,DTW,2083.0,3398.0,385.134243599599,2475.865535347386
SFO,EWR,1862.0,3687.0,186.35368303745204,2710.98134119381
SFO,IAD,2405.0,3483.0,181.72337261860793,2633.3847088897232
SFO,JFK,665.0,4430.0,209.8266316569019,2656.5809764223036
SFO,LAX,339.0,1781.0,273.65090669395835,441.35824172084
SFO,LGA,954.0,3687.0,254.16327263091947,2797.8916098830787
SFO,MIA,2515.0,3958.0,467.4946238927699,3053.7859490606106
SFO,OAK,677.0,2432.0,235.75372306718862,852.8570102657854
SFO,ORD,1847.0,3286.0,283.5800229076839,2082.642491526596
SFO,PHL,954.0,3599.0,326.8840904733499,2729.1728991037357
